customer_id,first_name,last_name,email,phone,gender,birth_date,registration_date,loyalty_points,age,age_group,customer_tenure_days,customer_tenure_months,customer_tenure_years,registration_year,registration_quarter,registration_month,registration_weekday,registered_on_weekend,loyalty_segment,loyalty_tier,is_senior,is_young_customer,is_adult,is_long_term_customer,is_new_customer,loyalty_points_per_year,email_domain
1,Arjun,Modi,arjun.modi1@gmail.com,9923974559,Female,1971-08-08,2021-03-10,3729,54,46-60,1758,58.6,4.82,2021,1,March,Wednesday,0,VIP,4,0,0,0,0,0,772.05,gmail.com
2,Riya,Kapoor,riya.kapoor2@gmail.com,9922842611,Female,1978-01-04,2021-09-04,2326,48,46-60,1580,52.7,4.33,2021,3,September,Saturday,1,VIP,4,0,0,0,0,0,535.94,gmail.com
3,Neha,Mehta,neha.mehta3@gmail.com,9758661182,Female,1981-07-04,2021-01-09,1842,44,36-45,1818,60.6,4.98,2021,1,January,Saturday,1,VIP,4,0,0,1,0,0,369.14,gmail.com
4,Aarav,Trivedi,aarav.trivedi4@gmail.com,9228681267,Female,1995-08-17,2024-11-09,1116,30,26-35,418,13.9,1.15,2024,4,November,Saturday,1,VIP,4,0,0,1,0,0,962.07,gmail.com
5,Neha,Desai,neha.desai5@gmail.com,9251875017,Male,1992-10-17,2022-05-29,3115,33,26-35,1313,43.8,3.6,2022,2,May,Sunday,1,VIP,4,0,0,1,0,0,862.88,gmail.com
6,Priya,Bhatt,priya.bhatt6@gmail.com,9708057500,Male,1973-11-09,2020-04-26,3902,52,46-60,2076,69.2,5.69,2020,2,April,Sunday,1,VIP,4,0,0,0,1,0,684.56,gmail.com
7,Diya,Modi,diya.modi7@gmail.com,9369851009,Female,2004-01-22,2024-05-22,35,21,18-25,589,19.6,1.61,2024,2,May,Wednesday,0,Low,1,0,1,0,0,0,21.6,gmail.com
8,Ananya,Joshi,ananya.joshi8@gmail.com,9902656378,Male,1992-10-07,2025-11-02,1138,33,26-35,60,2.0,0.16,2025,4,November,Sunday,1,VIP,4,0,0,1,0,1,6694.12,gmail.com
9,Vivaan,Bhatt,vivaan.bhatt9@gmail.com,9894624506,Female,1978-08-13,2024-03-10,864,47,46-60,662,22.1,1.81,2024,1,March,Sunday,1,High,3,0,0,0,0,0,474.73,gmail.com
10,Neha,Joshi,neha.joshi10@gmail.com,9556127894,Female,2001-11-01,2022-03-31,2858,24,18-25,1372,45.7,3.76,2022,1,March,Thursday,0,VIP,4,0,1,0,0,0,758.09,gmail.com
11,Ananya,Shah,ananya.shah11@gmail.com,9675833053,Female,1973-10-28,2023-05-21,1082,52,46-60,956,31.9,2.62,2023,2,May,Sunday,1,VIP,4,0,0,0,0,0,411.41,gmail.com
12,Neha,Mehta,neha.mehta12@gmail.com,9791961764,Male,1986-02-12,2024-02-23,4575,39,36-45,678,22.6,1.86,2024,1,February,Friday,0,VIP,4,0,0,1,0,0,2446.52,gmail.com
13,Vivaan,Trivedi,vivaan.trivedi13@gmail.com,9769372493,Male,1971-09-15,2025-11-04,3307,54,46-60,58,1.9,0.16,2025,4,November,Tuesday,0,VIP,4,0,0,0,0,1,19452.94,gmail.com
14,Vivaan,Joshi,vivaan.joshi14@gmail.com,9935125876,Female,1992-10-28,2022-05-29,1153,33,26-35,1313,43.8,3.6,2022,2,May,Sunday,1,VIP,4,0,0,1,0,0,319.39,gmail.com
15,Aditya,Patel,aditya.patel15@gmail.com,9982187271,Female,1995-03-15,2022-01-31,810,30,26-35,1431,47.7,3.92,2022,1,January,Monday,0,High,3,0,0,1,0,0,206.11,gmail.com
16,Riya,Desai,riya.desai16@gmail.com,9141065409,Male,1976-05-07,2020-07-19,4042,49,46-60,1992,66.4,5.46,2020,3,July,Sunday,1,VIP,4,0,0,0,1,0,738.94,gmail.com
17,Aarav,Desai,aarav.desai17@gmail.com,9809017573,Male,2002-05-28,2024-10-20,485,23,18-25,438,14.6,1.2,2024,4,October,Sunday,1,Medium,2,0,1,0,0,0,400.83,gmail.com
18,Priya,Shah,priya.shah18@gmail.com,9951887137,Female,1972-12-25,2022-03-23,2615,53,46-60,1380,46.0,3.78,2022,1,March,Wednesday,0,VIP,4,0,0,0,0,0,689.97,gmail.com
19,Riya,Mehta,riya.mehta19@gmail.com,9746462064,Female,1986-03-27,2024-02-24,3361,39,36-45,677,22.6,1.85,2024,1,February,Saturday,1,VIP,4,0,0,1,0,0,1806.99,gmail.com
20,Priya,Trivedi,priya.trivedi20@gmail.com,9479739587,Male,2005-02-24,2022-03-07,3270,20,18-25,1396,46.5,3.82,2022,1,March,Monday,0,VIP,4,0,1,0,0,0,853.79,gmail.com
21,Vivaan,Gupta,vivaan.gupta21@gmail.com,9780013550,Female,1974-12-28,2025-09-08,2341,51,46-60,115,3.8,0.32,2025,3,September,Monday,0,VIP,4,0,0,0,0,1,7093.94,gmail.com
22,Ananya,Kapoor,ananya.kapoor22@gmail.com,9686196538,Female,1990-11-02,2024-12-18,1142,35,26-35,379,12.6,1.04,2024,4,December,Wednesday,0,VIP,4,0,0,1,0,0,1087.62,gmail.com
23,Aditya,Desai,aditya.desai23@gmail.com,9797613969,Female,2004-07-04,2020-03-24,966,21,18-25,2109,70.3,5.78,2020,1,March,Tuesday,0,High,3,0,1,0,1,0,166.84,gmail.com
24,Diya,Mehta,diya.mehta24@gmail.com,9661424807,Female,1991-02-28,2025-02-06,4309,34,26-35,329,11.0,0.9,2025,1,February,Thursday,0,VIP,4,0,0,1,0,1,4735.16,gmail.com
25,Diya,Modi,diya.modi25@gmail.com,9549147738,Female,1987-11-16,2023-11-17,3710,38,36-45,776,25.9,2.13,2023,4,November,Friday,0,VIP,4,0,0,1,0,0,1733.64,gmail.com
26,Ananya,Kapoor,ananya.kapoor26@gmail.com,9181181649,Male,1999-12-25,2024-02-02,4562,26,26-35,699,23.3,1.92,2024,1,February,Friday,0,VIP,4,0,0,1,0,0,2363.73,gmail.com
27,Arjun,Trivedi,arjun.trivedi27@gmail.com,9106356281,Female,1992-01-26,2020-01-17,1399,33,26-35,2176,72.5,5.96,2020,1,January,Friday,0,VIP,4,0,0,1,1,0,234.34,gmail.com
28,Diya,Mehta,diya.mehta28@gmail.com,9880576278,Male,1973-04-05,2025-10-21,4948,52,46-60,72,2.4,0.2,2025,4,October,Tuesday,0,VIP,4,0,0,0,0,1,23561.9,gmail.com
29,Ananya,Joshi,ananya.joshi29@gmail.com,9856940304,Female,1993-06-16,2022-05-21,3613,32,26-35,1321,44.0,3.62,2022,2,May,Saturday,1,VIP,4,0,0,1,0,0,995.32,gmail.com
30,Aditya,Bhatt,aditya.bhatt30@gmail.com,9912549080,Female,1985-11-02,2020-09-17,4158,40,36-45,1932,64.4,5.29,2020,3,September,Thursday,0,VIP,4,0,0,1,1,0,784.53,gmail.com
31,Aditya,Trivedi,aditya.trivedi31@gmail.com,9143350710,Female,1973-11-24,2020-12-15,1338,52,46-60,1843,61.4,5.05,2020,4,December,Tuesday,0,VIP,4,0,0,0,1,0,264.43,gmail.com
32,Aarav,Joshi,aarav.joshi32@gmail.com,9611644154,Male,1978-03-12,2025-05-04,1340,47,46-60,242,8.1,0.66,2025,2,May,Sunday,1,VIP,4,0,0,0,0,1,2000.0,gmail.com
33,Aditya,Joshi,aditya.joshi33@gmail.com,9431682951,Female,1975-04-16,2021-12-24,1229,50,46-60,1469,49.0,4.02,2021,4,December,Friday,0,VIP,4,0,0,0,0,0,304.96,gmail.com
34,Riya,Gupta,riya.gupta34@gmail.com,9379029560,Female,2004-10-24,2022-03-30,2225,21,18-25,1373,45.8,3.76,2022,1,March,Wednesday,0,VIP,4,0,1,0,0,0,590.19,gmail.com
35,Diya,Trivedi,diya.trivedi35@gmail.com,9532502733,Female,1981-06-21,2025-05-02,4944,44,36-45,244,8.1,0.67,2025,2,May,Friday,0,VIP,4,0,0,1,0,1,7270.59,gmail.com
36,Neha,Shah,neha.shah36@gmail.com,9700511723,Male,1992-04-08,2024-06-08,3232,33,26-35,572,19.1,1.57,2024,2,June,Saturday,1,VIP,4,0,0,1,0,0,2045.57,gmail.com
37,Priya,Gupta,priya.gupta37@gmail.com,9248726223,Female,1989-09-01,2020-04-10,3228,36,36-45,2092,69.7,5.73,2020,2,April,Friday,0,VIP,4,0,0,1,1,0,562.37,gmail.com
38,Diya,Desai,diya.desai38@gmail.com,9409781739,Female,1999-04-27,2021-08-11,140,26,26-35,1604,53.5,4.39,2021,3,August,Wednesday,0,Medium,2,0,0,1,0,0,31.82,gmail.com
39,Ananya,Modi,ananya.modi39@gmail.com,9995241874,Male,1996-01-13,2023-02-07,2524,29,26-35,1059,35.3,2.9,2023,1,February,Tuesday,0,VIP,4,0,0,1,0,0,867.35,gmail.com
40,Aditya,Shah,aditya.shah40@gmail.com,9869443700,Female,2000-02-24,2024-10-25,1345,25,18-25,433,14.4,1.19,2024,4,October,Friday,0,VIP,4,0,1,0,0,0,1120.83,gmail.com
41,Arjun,Gupta,arjun.gupta41@gmail.com,9664847170,Female,1970-05-27,2021-08-01,226,55,46-60,1614,53.8,4.42,2021,3,August,Sunday,1,Medium,2,0,0,0,0,0,51.02,gmail.com
42,Neha,Shah,neha.shah42@gmail.com,9452096377,Female,1972-10-26,2023-11-14,954,53,46-60,779,26.0,2.13,2023,4,November,Tuesday,0,High,3,0,0,0,0,0,445.79,gmail.com
43,Vivaan,Joshi,vivaan.joshi43@gmail.com,9929888110,Female,1986-10-19,2024-08-14,799,39,36-45,505,16.8,1.38,2024,3,August,Wednesday,0,High,3,0,0,1,0,0,574.82,gmail.com
44,Ananya,Shah,ananya.shah44@gmail.com,9140245076,Male,1981-12-09,2021-02-26,2694,44,36-45,1770,59.0,4.85,2021,1,February,Friday,0,VIP,4,0,0,1,0,0,554.32,gmail.com
45,Aarav,Desai,aarav.desai45@gmail.com,9624592448,Female,1981-04-10,2025-05-07,2812,44,36-45,239,8.0,0.65,2025,2,May,Wednesday,0,VIP,4,0,0,1,0,1,4260.61,gmail.com
46,Riya,Joshi,riya.joshi46@gmail.com,9999007562,Male,1993-07-09,2022-12-16,2722,32,26-35,1112,37.1,3.05,2022,4,December,Friday,0,VIP,4,0,0,1,0,0,889.54,gmail.com
47,Diya,Desai,diya.desai47@gmail.com,9869697766,Male,1990-12-07,2025-03-05,2951,35,26-35,302,10.1,0.83,2025,1,March,Wednesday,0,VIP,4,0,0,1,0,1,3513.1,gmail.com
48,Krishna,Mehta,krishna.mehta48@gmail.com,9477759770,Female,2003-09-24,2024-08-17,4110,22,18-25,502,16.7,1.38,2024,3,August,Saturday,1,VIP,4,0,1,0,0,0,2956.83,gmail.com
49,Neha,Desai,neha.desai49@gmail.com,9883890615,Female,1990-10-12,2023-11-06,3659,35,26-35,787,26.2,2.16,2023,4,November,Monday,0,VIP,4,0,0,1,0,0,1686.18,gmail.com
50,Arjun,Kapoor,arjun.kapoor50@gmail.com,9716192699,Male,1970-08-13,2022-04-01,567,55,46-60,1371,45.7,3.76,2022,2,April,Friday,0,High,3,0,0,0,0,0,150.4,gmail.com
51,Neha,Mehta,neha.mehta51@gmail.com,9252918735,Female,1984-05-13,2020-02-14,3242,41,36-45,2148,71.6,5.88,2020,1,February,Friday,0,VIP,4,0,0,1,1,0,550.42,gmail.com
52,Diya,Bhatt,diya.bhatt52@gmail.com,9615650348,Male,1977-08-06,2024-06-30,3136,48,46-60,550,18.3,1.51,2024,2,June,Sunday,1,VIP,4,0,0,0,0,0,2063.16,gmail.com
53,Riya,Kapoor,riya.kapoor53@gmail.com,9142542939,Male,1992-01-27,2023-07-29,23,33,26-35,887,29.6,2.43,2023,3,July,Saturday,1,Low,1,0,0,1,0,0,9.43,gmail.com
54,Aditya,Shah,aditya.shah54@gmail.com,9297525096,Female,1983-06-09,2024-12-08,4644,42,36-45,389,13.0,1.07,2024,4,December,Sunday,1,VIP,4,0,0,1,0,0,4300.0,gmail.com
55,Vivaan,Kapoor,vivaan.kapoor55@gmail.com,9537107248,Male,1975-09-16,2025-05-30,4631,50,46-60,216,7.2,0.59,2025,2,May,Friday,0,VIP,4,0,0,0,0,1,7718.33,gmail.com
56,Ananya,Trivedi,ananya.trivedi56@gmail.com,9541218305,Female,1980-01-15,2025-07-27,4654,45,36-45,158,5.3,0.43,2025,3,July,Sunday,1,VIP,4,0,0,1,0,1,10577.27,gmail.com
57,Aditya,Desai,aditya.desai57@gmail.com,9201062094,Female,1980-11-10,2024-12-20,4220,45,36-45,377,12.6,1.03,2024,4,December,Friday,0,VIP,4,0,0,1,0,0,4057.69,gmail.com
58,Arjun,Shah,arjun.shah58@gmail.com,9110347683,Female,2000-07-15,2024-09-21,2925,25,18-25,467,15.6,1.28,2024,3,September,Saturday,1,VIP,4,0,1,0,0,0,2267.44,gmail.com
59,Neha,Bhatt,neha.bhatt59@gmail.com,9691052831,Male,2004-08-27,2020-02-20,323,21,18-25,2142,71.4,5.87,2020,1,February,Thursday,0,Medium,2,0,1,0,1,0,54.93,gmail.com
60,Neha,Modi,neha.modi60@gmail.com,9586465462,Male,1992-07-11,2023-03-12,574,33,26-35,1026,34.2,2.81,2023,1,March,Sunday,1,High,3,0,0,1,0,0,203.55,gmail.com
61,Aditya,Bhatt,aditya.bhatt61@gmail.com,9957016803,Female,1985-07-09,2023-12-31,2793,40,36-45,732,24.4,2.01,2023,4,December,Sunday,1,VIP,4,0,0,1,0,0,1382.67,gmail.com
62,Diya,Gupta,diya.gupta62@gmail.com,9764627484,Female,1984-10-23,2025-04-06,1088,41,36-45,270,9.0,0.74,2025,2,April,Sunday,1,VIP,4,0,0,1,0,1,1450.67,gmail.com
63,Diya,Modi,diya.modi63@gmail.com,9207996998,Male,1974-07-05,2024-01-15,1418,51,46-60,717,23.9,1.96,2024,1,January,Monday,0,VIP,4,0,0,0,0,0,719.8,gmail.com
64,Ananya,Shah,ananya.shah64@gmail.com,9761217432,Female,1983-02-06,2020-12-02,2241,42,36-45,1856,61.9,5.08,2020,4,December,Wednesday,0,VIP,4,0,0,1,1,0,440.28,gmail.com
65,Riya,Trivedi,riya.trivedi65@gmail.com,9372159164,Male,1970-05-24,2025-03-09,176,55,46-60,298,9.9,0.82,2025,1,March,Sunday,1,Medium,2,0,0,0,0,1,212.05,gmail.com
66,Diya,Trivedi,diya.trivedi66@gmail.com,9775478487,Male,1973-12-26,2025-08-05,2584,52,46-60,149,5.0,0.41,2025,3,August,Tuesday,0,VIP,4,0,0,0,0,1,6152.38,gmail.com
67,Riya,Mehta,riya.mehta67@gmail.com,9301380432,Male,1982-07-12,2026-02-03,2904,43,36-45,-33,-1.1,-0.09,2026,1,February,Tuesday,0,VIP,4,0,0,1,0,1,-36300.0,gmail.com
