employee_id,department_id,first_name,last_name,email,hire_date,salary
1,3,Emp1,Last1,emp1@globalmart.com,2021-05-06,41198.71
2,3,Emp2,Last2,emp2@globalmart.com,2022-10-12,104240.61
3,5,Emp3,Last3,emp3@globalmart.com,2023-08-25,48585.5
4,1,Emp4,Last4,emp4@globalmart.com,2024-07-09,96474.78
5,2,Emp5,Last5,emp5@globalmart.com,2024-08-16,102791.44
6,1,Emp6,Last6,emp6@globalmart.com,2024-09-20,122872.56
7,2,Emp7,Last7,emp7@globalmart.com,2023-04-17,112243.21
8,5,Emp8,Last8,emp8@globalmart.com,2022-07-03,103461.28
9,3,Emp9,Last9,emp9@globalmart.com,2023-03-03,126519.17
10,4,Emp10,Last10,emp10@globalmart.com,2024-06-04,123946.45
11,3,Emp11,Last11,emp11@globalmart.com,2024-04-19,131243.47
12,1,Emp12,Last12,emp12@globalmart.com,2024-12-22,53153.85
13,3,Emp13,Last13,emp13@globalmart.com,2023-08-25,128026.58
14,4,Emp14,Last14,emp14@globalmart.com,2020-02-03,148178.1
15,1,Emp15,Last15,emp15@globalmart.com,2020-12-06,47874.38
16,1,Emp16,Last16,emp16@globalmart.com,2022-08-19,122312.02
17,4,Emp17,Last17,emp17@globalmart.com,2024-11-23,132254.75
18,2,Emp18,Last18,emp18@globalmart.com,2024-10-11,131713.22
19,5,Emp19,Last19,emp19@globalmart.com,2025-11-18,37837.68
20,2,Emp20,Last20,emp20@globalmart.com,2020-06-21,36005.53
21,5,Emp21,Last21,emp21@globalmart.com,2024-01-06,64936.91
22,4,Emp22,Last22,emp22@globalmart.com,2022-09-10,105476.22
23,4,Emp23,Last23,emp23@globalmart.com,2020-12-04,147749.03
24,5,Emp24,Last24,emp24@globalmart.com,2022-06-16,126066.49
25,3,Emp25,Last25,emp25@globalmart.com,2025-12-05,50399.17
26,4,Emp26,Last26,emp26@globalmart.com,2025-11-14,48183.77
27,1,Emp27,Last27,emp27@globalmart.com,2021-05-10,38091.15
28,3,Emp28,Last28,emp28@globalmart.com,2023-11-14,72204.98
29,3,Emp29,Last29,emp29@globalmart.com,2023-11-20,41003.49
30,5,Emp30,Last30,emp30@globalmart.com,2024-06-22,78727.41
31,4,Emp31,Last31,emp31@globalmart.com,2022-01-27,116657.06
32,3,Emp32,Last32,emp32@globalmart.com,2024-12-01,44312.8
33,5,Emp33,Last33,emp33@globalmart.com,2021-09-13,119503.39
34,2,Emp34,Last34,emp34@globalmart.com,2024-12-28,130183.99
35,3,Emp35,Last35,emp35@globalmart.com,2021-10-28,118093.58
36,5,Emp36,Last36,emp36@globalmart.com,2021-04-05,116990.71
37,3,Emp37,Last37,emp37@globalmart.com,2022-10-20,84504.28
38,4,Emp38,Last38,emp38@globalmart.com,2023-08-18,91510.12
39,4,Emp39,Last39,emp39@globalmart.com,2021-08-07,53920.86
40,1,Emp40,Last40,emp40@globalmart.com,2021-12-02,126379.3
41,5,Emp41,Last41,emp41@globalmart.com,2023-01-03,100846.67
42,3,Emp42,Last42,emp42@globalmart.com,2020-08-02,102161.94
43,1,Emp43,Last43,emp43@globalmart.com,2023-01-08,83193.35
44,3,Emp44,Last44,emp44@globalmart.com,2021-08-17,32810.86
45,1,Emp45,Last45,emp45@globalmart.com,2020-02-04,35433.07
46,4,Emp46,Last46,emp46@globalmart.com,2025-06-12,37832.75
47,2,Emp47,Last47,emp47@globalmart.com,2023-10-14,63723.11
48,2,Emp48,Last48,emp48@globalmart.com,2023-05-25,66042.87
49,1,Emp49,Last49,emp49@globalmart.com,2020-08-23,65803.07
50,4,Emp50,Last50,emp50@globalmart.com,2024-11-05,135056.69
51,4,Emp51,Last51,emp51@globalmart.com,2023-02-10,124610.75
52,5,Emp52,Last52,emp52@globalmart.com,2020-08-06,42330.18
53,1,Emp53,Last53,emp53@globalmart.com,2020-02-07,99860.57
54,2,Emp54,Last54,emp54@globalmart.com,2024-09-27,116837.81
55,2,Emp55,Last55,emp55@globalmart.com,2022-05-11,105576.06
56,5,Emp56,Last56,emp56@globalmart.com,2023-05-05,129352.89
